나이,남자,여자
0,888,620
1,81,70
2,51,45
3,48,33
4,33,25
5,29,16
6,33,19
7,41,23
8,25,16
9,47,28
10,39,24
11,34,21
12,41,34
13,64,42
14,76,42
15,80,49
16,132,58
17,157,54
18,165,76
19,171,92
20,154,78
21,168,89
22,199,102
23,193,105
24,200,123
25,243,141
26,252,151
27,321,171
28,326,189
29,328,227
30,351,207
31,359,203
32,364,196
33,348,182
34,364,235
35,473,247
36,549,288
37,568,307
38,595,330
39,726,381
40,786,354
41,952,408
42,979,390
43,1014,400
44,1171,436
45,1263,482
46,1287,502
47,1502,561
48,1727,625
49,2016,724
50,2038,711
51,1973,727
52,2123,719
53,2129,726
54,2221,750
55,2314,760
56,1948,665
57,2155,683
58,2256,758
59,1973,675
60,2300,777
61,2458,880
62,2436,960
63,2600,1055
64,2095,836
65,2507,1035
66,2579,1172
67,3453,1617
68,3902,1874
69,3482,1750
70,3846,1987
71,4117,2154
72,4084,2322
73,4274,2579
74,4317,2861
75,4366,3223
76,4106,3233
77,3946,3363
78,3809,3679
79,3539,3723
80,3461,4239
81,3444,4151
82,3152,4302
83,2843,4251
84,2543,4005
85,2517,3991
86,2309,3654
87,2324,4390
88,1849,3757
89,1490,3102
90,1237,2810
91,977,2316
92,801,2108
93,576,1848
94,413,1467
95,319,1089
96,208,876
97,150,706
98,99,499
99,82,339
100,161,646
