나이,남자,여자
0,225130,211372
1,233860,220207.5
2,246454,232503
3,242564,227781
4,228422,212906.5
5,235350,218707.5
6,250822.5,232362
7,257304.5,236507
8,274928,252029.5
9,312882,286421.5
10,328990,300456
11,329326.5,300519
12,341932.5,314001
13,354921,323749.5
14,368266.5,328505.5
15,378332.5,332419.5
16,380208,331351
17,381336,335236
18,376190,335676.5
19,354803.5,313786.5
20,334987.5,297335
21,328556,295995
22,322479.5,294819.5
23,321660.5,296364
24,331120.5,304486.5
25,337666,315386
26,360973.5,340280.5
27,400913.5,380802
28,424285,403739
29,428092,407567
30,422150.5,407376
31,395264.5,376975.5
32,382304.5,366122
33,390718,377998.5
34,394128,380100
35,418462.5,403684
36,443677,430034.5
37,453790.5,438083.5
38,469959.5,446297
39,474318.5,453334.5
40,466940,451295.5
41,466615.5,456209.5
42,447084,445040
43,428016.5,409491.5
44,429144,403717
45,427808.5,413980
46,416585,395920
47,430588,406383
48,457933,441478
49,463376.5,458033
50,447264.5,443801.5
51,413819,405647
52,395724,384287
53,373713,365994
54,356542.5,358599.5
55,336085.5,338021
56,289277.5,289354.5
57,280242,285181
58,254628,259414.5
59,222124,226995.5
60,230381,236575.5
61,230725,238039
62,229334,240594
63,206180.5,218705.5
64,172786.5,185145.5
65,165848,185389
66,169777.5,196293
67,190628,222425
68,190931,226250.5
69,160236,196480
70,151387.5,190992.5
71,144810,187238.5
72,130663,174277.5
73,119744.5,166046.5
74,110836.5,161057
75,99965.5,152229
76,84790,136461.5
77,73054,124764.5
78,61616.5,112963.5
79,51039.5,102704.5
80,45997,96503.5
81,40643.5,87504
82,34008.5,78065
83,27547.5,65630.5
84,22288,55253.5
85,19052,46998
86,17066.5,42990.5
87,14733.5,40520
88,11043.5,31975.5
89,8112,24166
90,6223.5,18562.5
91,4457.5,14287.5
92,3188.5,11655
93,2279.5,9309
94,1492.5,6587
95,1012,4757.5
96,698,3531.5
97,535.5,2551.5
98,367.5,1725
99,255.5,1069
100,385,2253
